id_transacao,cidade,tipo_consumidor,genero,linha_de_produto,preco_unitario,quantidade,imposto,total,data,hora,metodo_pagamento,total_sem_imposto,percentual_lucro_por_venda,avaliacao_cliente
778-71-5554,Palhoça,Membro,Feminino,Acessórios de moda,"15,43",1,"0,7715","16,2015",25/01/2019,15:46:00,Cartão de crédito,"15,43","4,761904762","6,1"
242-55-6721,São José,Membro,Feminino,Casa e estilo,"16,16",2,"1,616","33,936",03/07/2019,11:49:00,Virtual,"32,32","4,761904762","6,5"
399-46-5918,Palhoça,Membro,Feminino,Acessórios eletrônicos,"85,98",8,"34,392","722,232",28/02/2019,19:01:00,Dinheiro,"687,84","4,761904762","8,2"
106-35-6779,Florianópolis,Membro,Feminino,Casa e estilo,"44,34",2,"4,434","93,114",27/03/2019,11:26:00,Dinheiro,"88,68","4,761904762","5,8"
635-40-6220,Florianópolis,Membro,Feminino,Saúde e beleza,"89,6",8,"35,84","752,64",02/07/2019,11:28:00,Virtual,"716,8","4,761904762","6,6"
817-48-8732,Florianópolis,Membro,Feminino,Casa e estilo,"72,35",10,"36,175","759,675",20/01/2019,15:55:00,Dinheiro,"723,5","4,761904762","5,4"
120-06-4233,Palhoça,Membro,Feminino,Acessórios eletrônicos,"30,61",6,"9,183","192,843",03/12/2019,20:36:00,Dinheiro,"183,66","4,761904762","9,3"
285-68-5083,Palhoça,Membro,Feminino,Esportes e viagem,"24,74",3,"3,711","77,931",15/02/2019,17:47:00,Cartão de crédito,"74,22","4,761904762",10
803-83-5989,Palhoça,Membro,Feminino,Casa e estilo,"55,73",6,"16,719","351,099",24/02/2019,10:55:00,Virtual,"334,38","4,761904762",7
347-34-2234,São José,Membro,Feminino,Esportes e viagem,"55,07",9,"24,7815","520,4115",02/03/2019,13:40:00,Virtual,"495,63","4,761904762",10
199-75-8169,Florianópolis,Membro,Feminino,Esportes e viagem,"15,81",10,"7,905","166,005",03/06/2019,12:27:00,Cartão de crédito,"158,1","4,761904762","8,6"
853-23-2453,São José,Membro,Feminino,Saúde e beleza,"75,74",4,"15,148","318,108",14/02/2019,14:35:00,Dinheiro,"302,96","4,761904762","7,6"
877-22-3308,Florianópolis,Membro,Feminino,Saúde e beleza,"15,87",10,"7,935","166,635",13/03/2019,16:40:00,Dinheiro,"158,7","4,761904762","5,8"
838-78-4295,Palhoça,Membro,Feminino,Saúde e beleza,"33,47",2,"3,347","70,287",02/10/2019,15:43:00,Virtual,"66,94","4,761904762","6,7"
109-28-2512,São José,Membro,Feminino,Acessórios de moda,"97,61",6,"29,283","614,943",01/07/2019,15:01:00,Virtual,"585,66","4,761904762","9,9"
232-11-3025,Florianópolis,Membro,Feminino,Esportes e viagem,"78,77",10,"39,385","827,085",24/01/2019,10:04:00,Dinheiro,"787,7","4,761904762","6,4"
382-03-4532,Florianópolis,Membro,Feminino,Saúde e beleza,"18,33",1,"0,9165","19,2465",02/02/2019,18:50:00,Dinheiro,"18,33","4,761904762","4,3"
393-65-2792,Palhoça,Membro,Feminino,Comidas e bebidas,"89,48",10,"44,74","939,54",01/06/2019,12:46:00,Cartão de crédito,"894,8","4,761904762","9,6"
796-12-2025,Palhoça,Membro,Feminino,Acessórios de moda,"62,12",10,"31,06","652,26",02/11/2019,16:19:00,Dinheiro,"621,2","4,761904762","5,9"
510-95-6347,São José,Membro,Feminino,Comidas e bebidas,"48,52",3,"7,278","152,838",03/05/2019,18:17:00,Virtual,"145,56","4,761904762",4
841-35-6630,Palhoça,Membro,Feminino,Acessórios eletrônicos,"75,91",6,"22,773","478,233",03/09/2019,18:21:00,Dinheiro,"455,46","4,761904762","8,7"
287-21-9091,Florianópolis,Membro,Feminino,Casa e estilo,"74,67",9,"33,6015","705,6315",22/01/2019,10:55:00,Virtual,"672,03","4,761904762","9,4"
732-94-0499,Palhoça,Membro,Feminino,Acessórios eletrônicos,"41,65",10,"20,825","437,325",13/01/2019,17:04:00,Cartão de crédito,"416,5","4,761904762","5,4"
263-10-3913,Palhoça,Membro,Feminino,Acessórios de moda,"49,04",9,"22,068","463,428",01/09/2019,14:20:00,Cartão de crédito,"441,36","4,761904762","8,6"
381-20-0914,Florianópolis,Membro,Feminino,Acessórios de moda,"20,01",9,"9,0045","189,0945",01/12/2019,15:48:00,Cartão de crédito,"180,09","4,761904762","5,7"
829-49-1914,Palhoça,Membro,Feminino,Comidas e bebidas,"78,31",10,"39,155","822,255",03/05/2019,16:24:00,Virtual,"783,1","4,761904762","6,6"
756-01-7507,Palhoça,Membro,Feminino,Saúde e beleza,"20,38",5,"5,095","106,995",22/01/2019,18:56:00,Dinheiro,"101,9","4,761904762",6
870-72-4431,Palhoça,Membro,Feminino,Saúde e beleza,"99,19",6,"29,757","624,897",21/01/2019,14:42:00,Cartão de crédito,"595,14","4,761904762","5,5"
847-38-7188,São José,Membro,Feminino,Comidas e bebidas,"96,68",3,"14,502","304,542",26/01/2019,19:56:00,Virtual,"290,04","4,761904762","6,4"
480-63-2856,Palhoça,Membro,Feminino,Comidas e bebidas,"19,25",8,"7,7","161,7",23/01/2019,18:37:00,Virtual,154,"4,761904762","6,6"
787-56-0757,Palhoça,Membro,Feminino,Comidas e bebidas,"80,36",4,"16,072","337,512",23/02/2019,18:45:00,Cartão de crédito,"321,44","4,761904762","8,3"
360-39-5055,Palhoça,Membro,Feminino,Esportes e viagem,"48,91",5,"12,2275","256,7775",03/09/2019,10:17:00,Dinheiro,"244,55","4,761904762","6,6"
730-50-9884,Palhoça,Membro,Feminino,Esportes e viagem,"83,06",7,"29,071","610,491",03/05/2019,14:31:00,Virtual,"581,42","4,761904762",4
362-58-8315,Palhoça,Membro,Feminino,Acessórios de moda,"76,52",5,"19,13","401,73",25/03/2019,10:23:00,Dinheiro,"382,6","4,761904762","9,9"
633-44-8566,Florianópolis,Membro,Feminino,Comidas e bebidas,"49,38",7,"17,283","362,943",27/03/2019,20:35:00,Cartão de crédito,"345,66","4,761904762","7,3"
504-35-8843,Florianópolis,Membro,Feminino,Esportes e viagem,"42,47",1,"2,1235","44,5935",01/02/2019,16:57:00,Dinheiro,"42,47","4,761904762","5,7"
318-68-5053,São José,Membro,Feminino,Saúde e beleza,"76,99",6,"23,097","485,037",27/02/2019,17:55:00,Dinheiro,"461,94","4,761904762","6,1"
565-80-5980,Palhoça,Membro,Feminino,Casa e estilo,"47,38",4,"9,476","198,996",23/01/2019,10:25:00,Dinheiro,"189,52","4,761904762","7,1"
225-32-0908,Palhoça,Membro,Feminino,Esportes e viagem,"44,86",10,"22,43","471,03",26/01/2019,19:54:00,Virtual,"448,6","4,761904762","8,2"
873-51-0671,Florianópolis,Membro,Feminino,Esportes e viagem,"21,98",7,"7,693","161,553",01/10/2019,16:42:00,Virtual,"153,86","4,761904762","5,1"
152-08-9985,São José,Membro,Feminino,Saúde e beleza,"64,36",9,"28,962","608,202",03/12/2019,12:09:00,Cartão de crédito,"579,24","4,761904762","8,6"
512-91-0811,Palhoça,Membro,Feminino,Saúde e beleza,"89,75",1,"4,4875","94,2375",02/06/2019,20:05:00,Cartão de crédito,"89,75","4,761904762","6,6"
594-34-4444,Florianópolis,Membro,Feminino,Acessórios eletrônicos,"97,16",1,"4,858","102,018",03/08/2019,20:38:00,Virtual,"97,16","4,761904762","7,2"
766-85-7061,São José,Membro,Feminino,Saúde e beleza,"87,87",10,"43,935","922,635",29/03/2019,10:25:00,Virtual,"878,7","4,761904762","5,1"
871-39-9221,Palhoça,Membro,Feminino,Acessórios eletrônicos,"12,45",6,"3,735","78,435",02/09/2019,13:11:00,Dinheiro,"74,7","4,761904762","4,1"
865-92-6136,Florianópolis,Membro,Feminino,Comidas e bebidas,"52,75",3,"7,9125","166,1625",23/03/2019,10:16:00,Virtual,"158,25","4,761904762","9,3"
733-01-9107,São José,Membro,Feminino,Casa e estilo,"82,7",6,"24,81","521,01",03/05/2019,18:14:00,Dinheiro,"496,2","4,761904762","7,4"
163-56-7055,Palhoça,Membro,Feminino,Acessórios de moda,"48,71",1,"2,4355","51,1455",26/03/2019,19:20:00,Dinheiro,"48,71","4,761904762","4,1"
189-98-2939,Palhoça,Membro,Feminino,Acessórios de moda,"78,55",9,"35,3475","742,2975",03/01/2019,13:22:00,Dinheiro,"706,95","4,761904762","7,2"
551-21-3069,Palhoça,Membro,Feminino,Acessórios eletrônicos,"23,07",9,"10,3815","218,0115",02/01/2019,11:27:00,Dinheiro,"207,63","4,761904762","4,9"
212-62-1842,Florianópolis,Membro,Feminino,Comidas e bebidas,"58,26",6,"17,478","367,038",28/03/2019,16:44:00,Dinheiro,"349,56","4,761904762","9,9"
716-39-1409,São José,Membro,Feminino,Saúde e beleza,"30,35",7,"10,6225","223,0725",19/03/2019,18:19:00,Dinheiro,"212,45","4,761904762",8
704-48-3927,Florianópolis,Membro,Feminino,Acessórios eletrônicos,"88,67",10,"44,335","931,035",01/12/2019,14:50:00,Virtual,"886,7","4,761904762","7,3"
628-34-3388,Palhoça,Membro,Feminino,Acessórios de moda,"27,38",6,"8,214","172,494",01/05/2019,20:54:00,Cartão de crédito,"164,28","4,761904762","7,9"
630-74-5166,Florianópolis,Membro,Feminino,Esportes e viagem,"62,13",6,"18,639","391,419",22/03/2019,20:19:00,Dinheiro,"372,78","4,761904762","7,4"
588-01-7461,Palhoça,Membro,Feminino,Comidas e bebidas,"33,98",9,"15,291","321,111",24/03/2019,10:43:00,Dinheiro,"305,82","4,761904762","4,2"
861-77-0145,Palhoça,Membro,Feminino,Acessórios eletrônicos,"81,97",10,"40,985","860,685",03/03/2019,14:30:00,Dinheiro,"819,7","4,761904762","9,2"
479-26-8945,São José,Membro,Feminino,Esportes e viagem,"16,49",2,"1,649","34,629",02/05/2019,11:32:00,Virtual,"32,98","4,761904762","4,6"
210-67-5886,Palhoça,Membro,Feminino,Saúde e beleza,"98,21",3,"14,7315","309,3615",02/05/2019,10:41:00,Cartão de crédito,"294,63","4,761904762","7,8"
227-78-1148,São José,Membro,Feminino,Acessórios de moda,"72,84",7,"25,494","535,374",15/02/2019,12:44:00,Dinheiro,"509,88","4,761904762","8,4"
645-44-1170,Florianópolis,Membro,Feminino,Casa e estilo,"58,07",9,"26,1315","548,7615",19/01/2019,20:07:00,Virtual,"522,63","4,761904762","4,3"
237-01-6122,Palhoça,Membro,Feminino,Casa e estilo,"80,79",9,"36,3555","763,4655",02/01/2019,20:31:00,Cartão de crédito,"727,11","4,761904762","9,5"
225-98-1496,Palhoça,Membro,Feminino,Acessórios de moda,"27,02",3,"4,053","85,113",03/02/2019,13:01:00,Cartão de crédito,"81,06","4,761904762","7,1"
291-32-1427,São José,Membro,Feminino,Acessórios de moda,"21,94",5,"5,485","115,185",03/05/2019,12:29:00,Virtual,"109,7","4,761904762","5,3"
659-65-8956,São José,Membro,Feminino,Acessórios de moda,"51,36",1,"2,568","53,928",16/01/2019,15:26:00,Virtual,"51,36","4,761904762","5,2"
642-32-2990,Florianópolis,Membro,Feminino,Comidas e bebidas,"10,96",10,"5,48","115,08",02/02/2019,20:48:00,Virtual,"109,6","4,761904762",6
378-24-2715,São José,Membro,Feminino,Casa e estilo,"53,44",2,"5,344","112,224",20/01/2019,20:38:00,Virtual,"106,88","4,761904762","4,1"
638-60-7125,Florianópolis,Membro,Feminino,Acessórios eletrônicos,"99,56",8,"39,824","836,304",14/02/2019,17:03:00,Cartão de crédito,"796,48","4,761904762","5,2"
659-36-1684,Palhoça,Membro,Feminino,Esportes e viagem,"57,12",7,"19,992","419,832",01/12/2019,12:02:00,Cartão de crédito,"399,84","4,761904762","6,5"
219-22-9386,São José,Membro,Feminino,Esportes e viagem,"99,96",9,"44,982","944,622",03/09/2019,17:26:00,Cartão de crédito,"899,64","4,761904762","4,2"
336-78-2147,Palhoça,Membro,Feminino,Casa e estilo,"63,91",8,"25,564","536,844",13/03/2019,19:52:00,Cartão de crédito,"511,28","4,761904762","4,6"
268-27-6179,São José,Membro,Feminino,Acessórios de moda,"56,47",8,"22,588","474,348",03/09/2019,14:57:00,Virtual,"451,76","4,761904762","7,3"
668-90-8900,Florianópolis,Membro,Feminino,Casa e estilo,"93,69",7,"32,7915","688,6215",03/10/2019,18:44:00,Cartão de crédito,"655,83","4,761904762","4,5"
870-54-3162,Florianópolis,Membro,Feminino,Esportes e viagem,"32,25",5,"8,0625","169,3125",27/01/2019,13:26:00,Dinheiro,"161,25","4,761904762",9
189-08-9157,Palhoça,Membro,Feminino,Acessórios de moda,"31,73",9,"14,2785","299,8485",01/08/2019,16:17:00,Cartão de crédito,"285,57","4,761904762","5,9"
663-86-9076,Palhoça,Membro,Feminino,Comidas e bebidas,"68,54",8,"27,416","575,736",01/08/2019,15:57:00,Virtual,"548,32","4,761904762","8,5"
549-84-7482,São José,Membro,Feminino,Esportes e viagem,"90,28",9,"40,626","853,146",02/08/2019,11:15:00,Virtual,"812,52","4,761904762","7,2"
191-10-6171,São José,Normal,Feminino,Acessórios de moda,"39,62",7,"13,867","291,207",25/01/2019,13:18:00,Dinheiro,"277,34","4,761904762","7,5"
802-70-5316,Florianópolis,Membro,Feminino,Esportes e viagem,"92,13",6,"27,639","580,419",03/06/2019,20:34:00,Dinheiro,"552,78","4,761904762","8,3"
695-51-0018,São José,Normal,Feminino,Esportes e viagem,"34,84",4,"6,968","146,328",02/10/2019,18:36:00,Dinheiro,"139,36","4,761904762","7,4"
590-83-4591,São José,Membro,Feminino,Acessórios eletrônicos,"87,45",6,"26,235","550,935",17/02/2019,14:40:00,Cartão de crédito,"524,7","4,761904762","8,8"
483-71-1164,Palhoça,Normal,Feminino,Saúde e beleza,"81,3",6,"24,39","512,19",03/08/2019,16:43:00,Virtual,"487,8","4,761904762","5,3"
597-78-7908,Palhoça,Normal,Feminino,Acessórios de moda,"90,22",3,"13,533","284,193",18/02/2019,19:39:00,Dinheiro,"270,66","4,761904762","6,2"
700-81-1757,Florianópolis,Normal,Feminino,Acessórios eletrônicos,"26,31",5,"6,5775","138,1275",18/01/2019,20:59:00,Cartão de crédito,"131,55","4,761904762","8,8"
354-39-5160,Florianópolis,Membro,Feminino,Casa e estilo,"34,42",6,"10,326","216,846",18/02/2019,15:39:00,Dinheiro,"206,52","4,761904762","9,8"
241-72-9525,São José,Normal,Feminino,Esportes e viagem,"51,91",10,"25,955","545,055",16/02/2019,12:21:00,Dinheiro,"519,1","4,761904762","8,2"
575-30-8091,Florianópolis,Normal,Feminino,Esportes e viagem,"72,5",8,29,609,16/03/2019,19:25:00,Virtual,580,"4,761904762","9,2"
731-81-9469,Palhoça,Membro,Feminino,Esportes e viagem,"89,8",10,"44,9","942,9",23/01/2019,13:00:00,Cartão de crédito,898,"4,761904762","5,4"
280-17-4359,Palhoça,Membro,Masculino,Saúde e beleza,"90,5",10,"45,25","950,25",25/01/2019,13:48:00,Dinheiro,905,"4,761904762","8,1"
338-65-2210,Palhoça,Membro,Feminino,Saúde e beleza,"68,6",10,"34,3","720,3",02/05/2019,19:57:00,Dinheiro,686,"4,761904762","9,1"
488-25-4221,Palhoça,Membro,Feminino,Comidas e bebidas,"30,41",1,"1,5205","31,9305",22/02/2019,10:36:00,Cartão de crédito,"30,41","4,761904762","8,4"
239-10-7476,Florianópolis,Normal,Feminino,Casa e estilo,"77,95",6,"23,385","491,085",21/01/2019,16:37:00,Virtual,"467,7","4,761904762",8
458-41-1477,Palhoça,Normal,Feminino,Saúde e beleza,"46,26",6,"13,878","291,438",03/08/2019,17:11:00,Cartão de crédito,"277,56","4,761904762","9,5"
685-64-1609,Florianópolis,Membro,Feminino,Acessórios de moda,"30,14",10,"15,07","316,47",02/10/2019,12:28:00,Virtual,"301,4","4,761904762","9,2"
568-90-5112,Palhoça,Normal,Masculino,Saúde e beleza,"66,14",4,"13,228","277,788",19/03/2019,12:46:00,Cartão de crédito,"264,56","4,761904762","5,6"
262-47-2794,São José,Membro,Masculino,Casa e estilo,"71,86",8,"28,744","603,624",03/06/2019,15:07:00,Cartão de crédito,"574,88","4,761904762","6,2"
238-49-0436,Florianópolis,Normal,Masculino,Saúde e beleza,"32,46",8,"12,984","272,664",27/03/2019,13:48:00,Cartão de crédito,"259,68","4,761904762","4,9"
608-96-3517,São José,Membro,Feminino,Acessórios de moda,"91,54",4,"18,308","384,468",23/03/2019,19:20:00,Cartão de crédito,"366,16","4,761904762","4,8"
584-86-7256,Palhoça,Membro,Masculino,Esportes e viagem,"34,56",7,"12,096","254,016",03/11/2019,16:07:00,Cartão de crédito,"241,92","4,761904762","7,3"
746-94-0204,Florianópolis,Normal,Masculino,Acessórios de moda,"83,24",9,"37,458","786,618",29/01/2019,11:56:00,Cartão de crédito,"749,16","4,761904762","7,4"
214-17-6927,Palhoça,Normal,Feminino,Comidas e bebidas,"16,48",6,"4,944","103,824",02/07/2019,18:23:00,Virtual,"98,88","4,761904762","9,9"
400-89-4171,Palhoça,Normal,Feminino,Esportes e viagem,"80,97",8,"32,388","680,148",28/01/2019,13:05:00,Dinheiro,"647,76","4,761904762","9,3"
782-95-9291,Florianópolis,Membro,Masculino,Comidas e bebidas,"92,29",5,"23,0725","484,5225",20/02/2019,15:55:00,Cartão de crédito,"461,45","4,761904762",9
279-74-2924,São José,Membro,Masculino,Acessórios eletrônicos,"72,17",1,"3,6085","75,7785",01/04/2019,19:40:00,Dinheiro,"72,17","4,761904762","6,1"
307-85-2293,São José,Normal,Masculino,Casa e estilo,"50,28",5,"12,57","263,97",03/07/2019,13:58:00,Virtual,"251,4","4,761904762","9,7"
743-04-1105,São José,Membro,Masculino,Saúde e beleza,"97,22",9,"43,749","918,729",30/03/2019,14:43:00,Virtual,"874,98","4,761904762",6
423-57-2993,São José,Normal,Masculino,Esportes e viagem,"93,39",6,"28,017","588,357",27/03/2019,19:18:00,Virtual,"560,34","4,761904762",10
894-41-5205,Palhoça,Normal,Feminino,Comidas e bebidas,"43,18",8,"17,272","362,712",19/01/2019,19:39:00,Cartão de crédito,"345,44","4,761904762","8,3"
275-28-0149,Florianópolis,Normal,Masculino,Esportes e viagem,"63,69",1,"3,1845","66,8745",25/02/2019,16:21:00,Dinheiro,"63,69","4,761904762",6
101-17-6199,Florianópolis,Normal,Masculino,Comidas e bebidas,"45,79",7,"16,0265","336,5565",13/03/2019,19:44:00,Cartão de crédito,"320,53","4,761904762",7
423-80-0988,Palhoça,Normal,Masculino,Esportes e viagem,"76,4",2,"7,64","160,44",30/01/2019,19:42:00,Virtual,"152,8","4,761904762","6,5"
548-46-9322,São José,Normal,Masculino,Comidas e bebidas,"39,9",10,"19,95","418,95",20/02/2019,15:24:00,Cartão de crédito,399,"4,761904762","5,9"
505-02-0892,São José,Membro,Masculino,Saúde e beleza,"42,57",8,"17,028","357,588",25/02/2019,14:12:00,Virtual,"340,56","4,761904762","5,6"
